ID,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
1068,Nov,5,Monday,Accura,Urban,Thursday,Dec,1,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,1069,11,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision
2945,Jun,5,Thursday,Chevrolet,Urban,Friday,Jul,5,Male,Single,33,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2946,8,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
6883,Jan,3,Friday,Accura,Urban,Thursday,Feb,3,Male,Married,46,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,6884,12,400,1,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability
6121,Nov,4,Saturday,Mazda,Urban,Monday,Nov,5,Male,Married,36,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,6122,8,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
15197,Oct,3,Saturday,Mazda,Rural,Monday,Oct,3,Male,Single,27,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,15198,12,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,1 year,1 vehicle,1996,Liability
7462,Sep,2,Thursday,Toyota,Urban,Tuesday,Sep,2,Male,Married,45,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,7463,15,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,Internal,none,1 year,3 to 4,1995,Collision
7104,Feb,2,Wednesday,Toyota,Urban,Tuesday,Feb,3,Female,Married,27,Third Party,Sedan - All Perils,Sedan,less than 20000,0,7105,3,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils
7882,Dec,3,Thursday,Mazda,Urban,Thursday,Dec,3,Female,Single,33,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,7883,1,400,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability
9432,Oct,2,Saturday,Honda,Urban,Tuesday,Oct,2,Male,Married,59,Policy Holder,Sport - Collision,Sport,more than 69000,0,9433,2,400,2,more than 30,more than 30,none,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1995,Collision
8667,Dec,3,Saturday,Mazda,Urban,Wednesday,Dec,4,Male,Single,28,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,8668,6,400,3,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Liability
6626,Sep,4,Saturday,Chevrolet,Urban,Monday,Sep,4,Male,Married,48,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,6627,9,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils
3672,Jan,3,Tuesday,Toyota,Urban,Tuesday,Jan,3,Male,Married,55,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,3673,8,500,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,2 to 3 years,1 vehicle,1994,All Perils
827,Jan,4,Tuesday,Pontiac,Urban,Tuesday,Apr,1,Male,Married,27,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,828,14,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
14161,Jan,1,Saturday,Chevrolet,Urban,Monday,Jan,1,Male,Married,36,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,14162,14,400,4,8 to 15,8 to 15,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Liability
5487,Jul,3,Thursday,Toyota,Urban,Thursday,Jul,3,Male,Single,72,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,5488,12,700,3,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,All Perils
